10000,0.0000174628,0.0003837061
20000,0.0000342515,0.0006622889
30000,0.0000394436,0.0008895893
40000,0.0000527162,0.0012111519
50000,0.0000683630,0.0016420138
60000,0.0000797945,0.0018850257
70000,0.0000869367,0.0022822218
80000,0.0000975587,0.0027695934
90000,0.0001171483,0.0034986965
100000,0.0001438132,0.0045670665
